Vardas               Pavarde               Vidurkis (med.)     Vidurkis (vid.)
Abrahimas            Auditera              5.60                5.88
Abrahimas            Farsavicius           5.60                5.60
Abrahimas            Carkus                7.20                6.92
Abrahimas            Ecka                  6.80                7.00
Abrahimas            Farsavicius           5.20                5.04
Abrahimas            Jablanskas            8.80                8.08
Abrahimas            Zabaliuna             7.00                7.00
Abrahimas            Carkus                7.40                6.52
Abrahimas            Zabaliuna             5.80                5.80
Abrahimas            Ecka                  7.60                7.40
Abrahimas            Abaranas              7.20                7.84
Abrahimas            Ferdinandas           6.40                6.16
Abrahimas            Auditera              7.20                6.24
Abrahimas            Abaranas              7.00                7.32
Abrahimas            Farsavicius           6.00                6.20
Abrahimas            Carkus                6.80                6.76
Abrahimas            Ceberekas             6.60                7.04
Abrahimas            Fabricijus            5.20                5.24
Abrahimas            Carkus                6.00                5.80
Abrahimas            Fenclavas             7.80                7.84
Abrahimas            Jablanskas            5.00                5.12
Abrahimas            Fenclavas             4.60                5.04
Abrahimas            Farsavicius           6.20                6.44
Abrahimas            Donelaitis            7.40                7.52
Abrahimas            Fabricijus            5.40                5.40
Abrahimas            Zabaliuna             4.80                5.20
Abrahimas            Ecka                  5.40                5.68
Abrahimas            Ezynas                5.20                5.16
Abrahimas            Zabaliuna             7.80                7.64
Abrahimas            Zabaliuna             5.40                5.20
Abrahimas            Carkus                7.00                7.48
Abrahimas            Ochmanas              7.20                6.72
Abrahimas            Ochmanas              6.00                6.08
Abrahimas            Ezynas                5.60                5.60
Abrahimas            Auditera              6.60                6.60
Abrahimas            Jablanskas            6.20                5.80
Abrahimas            Ceberekas             6.20                7.36
Abrahimas            Fenclavas             5.80                5.24
Abrahimas            Ferdinandas           5.20                5.88
Abrahimas            Ceberekas             7.00                6.44
Abrahimas            Abaranas              7.40                7.24
Abrahimas            Abaranas              5.80                6.12
Abrahimas            Abaranas              6.80                6.76
Abrahimas            Ochmanas              5.60                5.76
Abrahimas            Zabaliuna             7.00                6.88
Abrahimas            Ceberekas             5.40                5.24
Abrahimas            Farsavicius           6.80                7.00
Abrahimas            Jablanskas            7.60                7.52
Abrahimas            Fenclavas             7.40                7.48
Abrahimas            Ecka                  7.80                7.92
Abrahimas            Carkauskas            5.60                5.40
Abrahimas            Farsavicius           7.00                7.00
Abrahimas            Ceberekas             5.20                5.28
Abrahimas            Ceberekas             7.00                7.08
Abrahimas            Jablanskas            5.40                5.28
Abrahimas            Ecka                  7.80                7.64
Abrahimas            Carkauskas            6.20                6.04
Abrahimas            Donelaitis            8.40                8.32
Abrahimas            Zabaliuna             8.40                8.20
Abrahimas            Zabaliuna             6.80                6.88
Abrahimas            Fenclavas             7.60                7.64
Abrahimas            Zabaliuna             7.60                7.52
Abrahimas            Fenclavas             5.80                6.12
Abrahimas            Jablanskas            8.40                7.96
Abrahimas            Donelaitis            6.00                6.12
Abrahimas            Zabaliuna             4.80                5.28
Abrahimas            Carkauskas            7.80                7.48
Abrahimas            Abaranas              7.20                7.48
Abrahimas            Zabaliuna             6.40                6.16
Abrahimas            Fabricijus            8.00                7.56
Abrahimas            Auditera              6.20                6.28
Abrahimas            Abaranas              4.80                5.00
Abrahimas            Ecka                  6.20                6.44
Abrahimas            Carkauskas            7.80                7.52
Abrahimas            Auditera              4.40                5.28
Abrahimas            Ecka                  7.60                7.72
Abrahimas            Carkauskas            7.20                7.00
Abrahimas            Ferdinandas           5.00                5.20
Abrahimas            Fenclavas             6.80                6.80
Abrahimas            Ferdinandas           7.20                7.24
Abrahimas            Fenclavas             6.60                6.80
Abrahimas            Carkus                7.00                7.60
Abrahimas            Donelaitis            6.60                6.00
Abrahimas            Fabricijus            6.40                6.44
Abrahimas            Ferdinandas           7.60                7.52
Abrahimas            Ochmanas              7.80                7.92
Abrahimas            Carkus                6.40                5.84
Abrahimas            Carkus                6.00                5.72
Abrahimas            Fabricijus            7.80                7.84
Abrahimas            Ecka                  6.20                6.32
Abrahimas            Donelaitis            6.60                7.12
Abrahimas            Abaranas              6.60                6.40
Abrahimas            Ceberekas             8.60                8.52
Abrahimas            Farsavicius           5.40                5.72
Abrahimas            Fenclavas             6.60                6.88
Abrahimas            Donelaitis            7.80                7.84
Abrahimas            Auditera              7.60                7.04
Abrahimas            Auditera              6.40                6.28
Abrahimas            Ecka                  6.00                6.00
Abrahimas            Fenclavas             5.60                5.96
Abrahimas            Ecka                  6.00                5.68
Abrahimas            Carkauskas            6.80                6.56
Abrahimas            Ceberekas             8.80                8.36
Abrahimas            Carkauskas            6.60                6.44
Abrahimas            Zabaliuna             7.00                7.00
Abrahimas            Ecka                  5.40                5.44
Abrahimas            Jablanskas            5.80                6.64
Abrahimas            Auditera              5.60                5.04
Abrahimas            Carkauskas            5.80                5.44
Abrahimas            Fabricijus            5.80                5.52
Abrahimas            Ecka                  5.60                5.28
Abrahimas            Auditera              7.20                7.40
Abrahimas            Carkus                7.00                6.92
Abrahimas            Fabricijus            6.40                7.00
Abrahimas            Fabricijus            8.20                8.28
Abrahimas            Ferdinandas           7.60                7.96
Abrahimas            Fabricijus            7.60                7.32
Abrahimas            Carkus                6.40                6.08
Abrahimas            Ochmanas              7.00                7.08
Abrahimas            Ezynas                8.40                8.04
Abrahimas            Donelaitis            7.40                7.56
Abrahimas            Ezynas                5.80                5.40
Abrahimas            Ecka                  5.20                5.36
Abrahimas            Ezynas                7.40                7.60
Abrahimas            Ecka                  7.80                7.84
Abrahimas            Ceberekas             6.20                6.52
Abrahimas            Zabaliuna             5.20                5.28
Abrahimas            Fabricijus            7.00                7.00
Abrahimas            Fabricijus            5.40                5.40
Abrahimas            Fenclavas             6.80                7.04
Abrahimas            Ecka                  7.80                7.84
Abrahimas            Ceberekas             5.60                5.60
Abrahimas            Ferdinandas           9.40                8.40
Abrahimas            Farsavicius           5.40                5.56
Abrahimas            Abaranas              7.40                7.72
Abrahimas            Ceberekas             8.60                7.92
Abrahimas            Fenclavas             6.80                6.24
Abrahimas            Ecka                  5.20                5.60
Abrahimas            Fenclavas             5.80                6.12
Abrahimas            Jablanskas            6.20                6.32
Abrahimas            Donelaitis            6.80                6.68
Abrahimas            Carkauskas            5.80                5.44
Abrahimas            Ezynas                6.60                6.44
Abrahimas            Fenclavas             6.60                6.68
Abrahimas            Ferdinandas           6.40                6.88
Abrahimas            Ferdinandas           7.80                7.48
Abrahimas            Ferdinandas           5.40                5.16
Abrahimas            Carkauskas            7.20                6.68
Abrahimas            Donelaitis            5.80                5.00
Abrahimas            Zabaliuna             5.80                5.80
Abrahimas            Zabaliuna             7.60                7.68
Abrahimas            Carkauskas            7.00                7.08
Abrahimas            Ecka                  8.00                7.84
Abrahimas            Ochmanas              6.20                5.84
Abrahimas            Carkus                6.60                6.76
Abrahimas            Donelaitis            5.60                5.28
Abrahimas            Abaranas              6.60                6.48
Abrahimas            Ochmanas              6.00                5.96
Abrahimas            Ezynas                5.20                5.16
Abrahimas            Farsavicius           5.60                5.80
Abrahimas            Auditera              6.00                5.84
Abrahimas            Abaranas              7.40                7.72
Abrahimas            Fenclavas             6.60                6.80
Abrahimas            Jablanskas            6.80                6.64
Abrahimas            Carkus                8.20                7.84
Abrahimas            Jablanskas            7.80                7.92
Abrahimas            Zabaliuna             9.00                8.56
Abrahimas            Jablanskas            6.60                6.72
Abrahimas            Auditera              7.00                7.04
Abrahimas            Ecka                  6.00                5.84
Abrahimas            Fenclavas             6.20                6.40
Abrahimas            Fenclavas             7.00                6.56
Abrahimas            Ochmanas              6.00                6.08
Abrahimas            Ferdinandas           6.20                5.44
Abrahimas            Zabaliuna             6.00                6.00
Abrahimas            Carkus                7.20                7.16
Abrahimas            Jablanskas            6.80                6.76
Abrahimas            Ceberekas             6.40                6.44
Abrahimas            Fabricijus            5.20                5.32
Abrahimas            Ecka                  5.20                5.40
Abrahimas            Fenclavas             6.20                5.76
Abrahimas            Fenclavas             7.00                7.36
Abrahimas            Farsavicius           8.40                7.92
Abrahimas            Ochmanas              6.40                6.60
Abrahimas            Abaranas              8.00                7.88
Abrahimas            Auditera              5.20                5.12
Abrahimas            Ceberekas             7.60                7.64
Abrahimas            Abaranas              6.20                7.20
Abrahimas            Ceberekas             5.40                5.32
Abrahimas            Auditera              7.60                7.84
Abrahimas            Ferdinandas           4.80                5.12
Abrahimas            Fenclavas             6.00                6.40
Abrahimas            Ceberekas             5.60                5.88
Abrahimas            Auditera              6.20                6.16
Abrahimas            Jablanskas            7.40                7.32
Abrahimas            Zabaliuna             6.00                6.12
Abrahimas            Fenclavas             5.40                5.76
Abrahimas            Zabaliuna             8.20                7.84
Abrahimas            Ceberekas             6.80                6.64
Abrahimas            Carkauskas            7.80                7.52
Abrahimas            Farsavicius           7.40                7.40
Abrahimas            Fabricijus            5.40                5.44
Abrahimas            Fenclavas             5.60                5.60
Abrahimas            Ceberekas             8.00                7.60
Abrahimas            Ecka                  4.80                5.28
Abrahimas            Carkauskas            5.40                5.60
Abrahimas            Zabaliuna             5.20                5.08
Abrahimas            Auditera              6.00                5.84
Abrahimas            Ceberekas             7.40                7.80
Abrahimas            Ezynas                5.40                5.36
Abrahimas            Ezynas                8.00                7.76
Abrahimas            Fenclavas             7.40                7.60
Abrahimas            Ecka                  7.40                7.56
Abrahimas            Fenclavas             8.20                7.84
Abrahimas            Ochmanas              8.40                8.20
Abrahimas            Carkus                5.40                5.16
Abrahimas            Fenclavas             7.60                7.76
Abrahimas            Fenclavas             6.80                7.28
Abrahimas            Fenclavas             7.40                6.96
Abrahimas            Auditera              6.60                6.44
Abrahimas            Donelaitis            7.80                7.08
Abrahimas            Carkus                7.00                7.20
Abrahimas            Carkus                6.60                6.40
Abrahimas            Farsavicius           8.00                7.92
Abrahimas            Zabaliuna             8.60                8.28
Abrahimas            Donelaitis            8.00                7.64
Abrahimas            Carkus                5.00                5.20
Abrahimas            Carkauskas            5.40                5.08
Abrahimas            Ezynas                5.00                5.40
Abrahimas            Ezynas                7.40                7.80
Abrahimas            Fabricijus            6.80                6.96
Abrahimas            Donelaitis            5.00                5.04
Abrahimas            Carkus                8.40                8.08
Abrahimas            Auditera              8.20                8.12
Abrahimas            Zabaliuna             6.40                6.60
Abrahimas            Ochmanas              6.80                6.84
Abrahimas            Donelaitis            5.60                5.72
Abrahimas            Carkus                8.40                8.40
Abrahimas            Ceberekas             6.20                6.12
Abrahimas            Ferdinandas           8.20                8.04
Abrahimas            Carkus                7.00                7.16
Abrahimas            Fenclavas             6.00                5.76
Abrahimas            Ezynas                7.00                6.88
Abrahimas            Fabricijus            6.60                6.76
Abrahimas            Zabaliuna             6.40                6.32
Abrahimas            Ferdinandas           6.40                6.40
Abrahimas            Abaranas              8.80                8.60
Abrahimas            Abaranas              8.80                8.20
Abrahimas            Fabricijus            5.40                5.52
Abrahimas            Donelaitis            6.20                5.92
Abrahimas            Auditera              5.40                5.52
Abrahimas            Fenclavas             6.60                6.48
Abrahimas            Abaranas              9.20                8.76
Abrahimas            Ceberekas             6.40                6.08
Abrahimas            Ezynas                7.80                7.64
Abrahimas            Ferdinandas           8.80                8.56
Abrahimas            Farsavicius           8.20                7.96
Abrahimas            Ecka                  6.40                6.24
Abrahimas            Fenclavas             7.60                7.36
Abrahimas            Ecka                  5.80                5.44
Abrahimas            Carkus                6.20                6.36
Abrahimas            Zabaliuna             6.60                7.00
Abrahimas            Jablanskas            7.60                7.28
Abrahimas            Ezynas                6.40                6.36
Abrahimas            Donelaitis            6.20                6.08
Abrahimas            Fenclavas             8.20                8.16
Abrahimas            Auditera              5.40                6.00
Abrahimas            Ecka                  5.00                5.36
Abrahimas            Fenclavas             5.80                5.40
Abrahimas            Fenclavas             9.20                8.80
Abrahimas            Donelaitis            6.20                6.00
Abrahimas            Ceberekas             8.60                8.28
Abrahimas            Carkus                6.00                5.52
Abrahimas            Auditera              6.60                6.40
Abrahimas            Fabricijus            5.60                5.92
Abrahimas            Fenclavas             5.60                5.88
Abrahimas            Ecka                  7.20                7.60
Abrahimas            Fabricijus            5.60                5.52
Abrahimas            Ferdinandas           7.60                7.24
Abrahimas            Auditera              5.00                5.24
Abrahimas            Carkauskas            6.60                6.48
Abrahimas            Fabricijus            5.00                5.04
Abrahimas            Ecka                  7.20                7.00
Abrahimas            Ceberekas             6.20                6.68
Abrahimas            Carkus                7.60                7.92
Abrahimas            Fenclavas             7.20                7.04
Abrahimas            Fabricijus            7.60                7.40
Abrahimas            Ferdinandas           7.80                7.84
Abrahimas            Fenclavas             7.00                7.56
Abrahimas            Carkus                6.00                5.60
Abrahimas            Ecka                  5.20                5.32
Abrahimas            Ecka                  6.80                6.64
Abrahimas            Carkauskas            7.20                7.16
Abrahimas            Farsavicius           6.80                6.96
Abrahimas            Abaranas              5.40                5.68
Abrahimas            Ferdinandas           6.00                6.20
Abrahimas            Ochmanas              6.40                6.36
Abrahimas            Jablanskas            6.20                5.80
Abrahimas            Auditera              4.80                5.12
Abrahimas            Farsavicius           5.60                5.28
Abrahimas            Ezynas                8.40                8.36
Abrahimas            Ferdinandas           5.40                5.36
Abrahimas            Ferdinandas           5.00                5.12
Abrahimas            Jablanskas            6.80                6.32
Abrahimas            Fenclavas             5.80                6.00
Abrahimas            Ceberekas             6.20                6.16
Abrahimas            Ochmanas              6.20                6.60
Abrahimas            Carkauskas            6.80                6.52
Abrahimas            Fabricijus            8.00                8.08
Abrahimas            Donelaitis            6.80                6.68
Abrahimas            Fenclavas             8.60                8.32
Abrahimas            Carkus                6.60                6.20
Abrahimas            Fabricijus            4.60                5.08
Abrahimas            Carkus                7.60                7.84
Abrahimas            Abaranas              6.40                6.12
Abrahimas            Carkauskas            7.20                7.00
Abrahimas            Carkus                8.60                8.04
Abrahimas            Ochmanas              7.40                6.92
Abrahimas            Zabaliuna             8.40                8.16
Abrahimas            Ezynas                7.20                7.40
Abrahimas            Farsavicius           6.40                6.24
Abrahimas            Abaranas              5.60                5.72
Abrahimas            Ecka                  7.60                6.96
Abrahimas            Abaranas              6.80                6.56
Abrahimas            Farsavicius           5.80                6.04
Abrahimas            Jablanskas            6.60                6.32
Abrahimas            Abaranas              6.00                5.76
Abrahimas            Fenclavas             6.20                5.32
Abrahimas            Ceberekas             6.00                5.84
Abrahimas            Donelaitis            7.80                7.36
Abrahimas            Farsavicius           5.80                6.40
Abrahimas            Donelaitis            6.80                6.60
Abrahimas            Fabricijus            6.60                6.80
Abrahimas            Auditera              6.40                6.44
Abrahimas            Jablanskas            5.40                5.48
Abrahimas            Ochmanas              5.40                5.32
Abrahimas            Carkus                8.40                7.96
Abrahimas            Ferdinandas           5.00                5.44
Abrahimas            Abaranas              6.40                6.48
Abrahimas            Carkus                5.20                5.36
Abrahimas            Carkus                8.00                7.68
Abrahimas            Auditera              8.00                7.56
Abrahimas            Ecka                  5.60                5.48
Abrahimas            Donelaitis            8.20                8.08
Abrahimas            Ceberekas             5.60                5.96
Abrahimas            Ezynas                6.40                6.68
Abrahimas            Ecka                  7.60                7.80
Abrahimas            Donelaitis            7.40                7.92
Abrahimas            Carkauskas            5.60                5.12
Abrahimas            Ochmanas              5.60                5.92
Abrahimas            Ochmanas              6.80                6.96
Abrahimas            Ezynas                5.80                5.88
Abrahimas            Ferdinandas           5.40                5.24
Abrahimas            Ezynas                6.20                5.96
Abrahimas            Ochmanas              5.60                5.24
Abrahimas            Carkauskas            6.80                6.96
Abrahimas            Ochmanas              5.40                5.84
Abrahimas            Farsavicius           5.80                5.28
Abrahimas            Jablanskas            7.40                7.44
Abrahimas            Donelaitis            5.40                5.56
Abrahimas            Carkus                6.20                6.52
Abrahimas            Farsavicius           8.20                7.76
Abrahimas            Fenclavas             6.20                6.48
Abrahimas            Farsavicius           7.20                7.52
Abrahimas            Farsavicius           6.60                6.52
Abrahimas            Fabricijus            6.40                6.28
Abrahimas            Carkauskas            5.40                5.20
Abrahimas            Ferdinandas           6.00                6.20
Abrahimas            Ceberekas             6.80                6.36
Abrahimas            Donelaitis            8.00                7.64
Abrahimas            Ferdinandas           5.20                5.08
Abrahimas            Zabaliuna             7.60                7.92
Abrahimas            Fabricijus            6.40                6.80
Abrahimas            Ochmanas              8.00                7.96
Abrahimas            Ezynas                8.60                8.32
Abrahimas            Ezynas                5.40                5.36
Abrahimas            Ecka                  6.80                6.92
Abrahimas            Jablanskas            7.20                7.32
Abrahimas            Fenclavas             8.00                7.52
Abrahimas            Fenclavas             7.80                8.08
Abrahimas            Jablanskas            7.80                7.56
Abrahimas            Ferdinandas           6.60                6.24
Abrahimas            Farsavicius           5.80                5.76
Abrahimas            Fabricijus            7.60                7.64
Abrahimas            Fabricijus            6.20                6.04
Abrahimas            Abaranas              8.20                8.32
Abrahimas            Ochmanas              6.40                6.48
Abrahimas            Fenclavas             8.40                8.36
Abrahimas            Fenclavas             6.60                6.36
Abrahimas            Ecka                  7.80                7.92
Abrahimas            Zabaliuna             6.60                7.00
Abrahimas            Fabricijus            6.00                6.24
Abrahimas            Ecka                  5.20                5.12
Abrahimas            Ecka                  6.00                6.44
Abrahimas            Jablanskas            8.00                8.12
Abrahimas            Carkauskas            7.20                7.00
Abrahimas            Ceberekas             6.20                6.16
Abrahimas            Carkauskas            8.00                7.60
Abrahimas            Fabricijus            5.60                5.80
Abrahimas            Ferdinandas           6.20                7.20
Abrahimas            Ferdinandas           5.00                5.44
Abrahimas            Donelaitis            5.80                6.44
Abrahimas            Fenclavas             5.60                5.68
Abrahimas            Abaranas              6.80                6.88
Abrahimas            Donelaitis            7.40                7.16
Abrahimas            Farsavicius           8.60                7.84
Abrahimas            Ceberekas             7.20                7.20
Abrahimas            Auditera              8.40                8.00
Abrahimas            Ferdinandas           6.40                6.76
Abrahimas            Carkauskas            5.80                5.16
Abrahimas            Fenclavas             6.40                6.32
Abrahimas            Ezynas                7.20                7.20
Abrahimas            Ezynas                7.40                7.72
Abrahimas            Zabaliuna             5.60                5.28
Abrahimas            Ochmanas              5.60                5.76
Abrahimas            Jablanskas            7.80                7.92
Abrahimas            Ezynas                6.00                5.72
Abrahimas            Donelaitis            7.80                7.84
Abrahimas            Ecka                  8.00                8.08
Abrahimas            Abaranas              7.00                7.20
Abrahimas            Donelaitis            7.80                7.88
Abrahimas            Ecka                  7.80                7.60
Abrahimas            Ochmanas              7.20                7.64
Abrahimas            Ceberekas             5.40                5.64
Abrahimas            Ochmanas              7.60                7.44
Abrahimas            Carkus                7.40                7.40
Abrahimas            Ceberekas             7.00                7.32
Abrahimas            Jablanskas            5.60                5.32
Abrahimas            Zabaliuna             6.60                6.92
Abrahimas            Ecka                  7.60                7.08
Abrahimas            Zabaliuna             6.80                6.24
Abrahimas            Fenclavas             6.80                7.12
Abrahimas            Ceberekas             6.80                6.52
Abrahimas            Fabricijus            7.60                7.56
Abrahimas            Farsavicius           7.80                7.88
Abrahimas            Carkauskas            6.60                6.08
Abrahimas            Fabricijus            7.60                7.80
Abrahimas            Zabaliuna             5.60                5.52
Abrahimas            Auditera              7.80                7.92
Abrahimas            Farsavicius           6.00                6.36
Abrahimas            Zabaliuna             7.20                6.88
Abrahimas            Abaranas              5.40                5.56
Abrahimas            Jablanskas            8.20                8.24
Abrahimas            Ceberekas             7.00                6.72
Abrahimas            Carkus                7.40                7.08
Abrahimas            Carkus                7.20                7.60
Abrahimas            Ecka                  5.80                5.60
Abrahimas            Fabricijus            8.20                7.92
Abrahimas            Ochmanas              7.80                6.88
Abrahimas            Donelaitis            7.80                7.88
Abrahimas            Abaranas              7.00                6.92
Abrahimas            Fabricijus            4.80                5.08
Abrahimas            Zabaliuna             6.20                6.16
Abrahimas            Ceberekas             6.60                7.04
Abrahimas            Donelaitis            7.40                7.28
Abrahimas            Ceberekas             6.00                6.32
Abrahimas            Zabaliuna             8.20                7.84
Abrahimas            Ezynas                6.40                6.28
Abrahimas            Fabricijus            6.60                6.72
Abrahimas            Ochmanas              4.80                5.44
Abrahimas            Ezynas                6.00                6.44
Abrahimas            Ezynas                7.00                7.40
Abrahimas            Auditera              6.80                7.16
Abrahimas            Carkus                6.00                5.88
Abrahimas            Ecka                  6.20                6.16
Abrahimas            Donelaitis            6.00                5.96
Abrahimas            Abaranas              7.40                7.68
Abrahimas            Zabaliuna             6.20                6.16
Abrahimas            Auditera              7.60                7.40
Abrahimas            Ochmanas              6.40                6.28
Abrahimas            Ochmanas              6.20                6.32
Abrahimas            Ferdinandas           6.80                6.64
Abrahimas            Fabricijus            6.40                6.12
Abrahimas            Ceberekas             8.40                8.20
Abrahimas            Fabricijus            7.00                6.96
Abrahimas            Ecka                  7.40                7.20
Abrahimas            Zabaliuna             8.20                8.20
Abrahimas            Ferdinandas           7.20                7.60
Abrahimas            Fabricijus            6.60                6.84
Abrahimas            Carkus                5.40                5.76
Abrahimas            Ochmanas              7.80                7.68
Abrahimas            Ferdinandas           6.40                6.52
Abrahimas            Auditera              4.60                5.08
Abrahimas            Zabaliuna             7.40                7.88
Abrahimas            Fabricijus            7.40                6.88
Abrahimas            Ochmanas              4.40                5.12
Abrahimas            Carkus                8.40                8.04
Abrahimas            Ceberekas             7.40                7.32
Abrahimas            Abaranas              5.60                6.24
Abrahimas            Ferdinandas           6.20                6.20
Abrahimas            Ezynas                7.20                7.60
Abrahimas            Carkus                5.80                5.76
Abrahimas            Jablanskas            6.20                5.92
Abrahimas            Carkus                6.80                6.64
Abrahimas            Donelaitis            7.60                7.32
Abrahimas            Jablanskas            7.00                7.40
Abrahimas            Ferdinandas           6.40                6.68
Abrahimas            Carkus                5.20                5.48
Abrahimas            Fabricijus            5.80                5.80
Abrahimas            Fabricijus            5.60                5.76
Abrahimas            Farsavicius           6.00                5.80
Abrahimas            Jablanskas            5.00                5.00
Abrahimas            Ecka                  5.60                6.00
Abrahimas            Donelaitis            5.40                5.16
Abrahimas            Carkus                4.80                5.00
Abrahimas            Carkauskas            7.00                7.16
Abrahimas            Ezynas                5.80                5.72
Abrahimas            Jablanskas            8.40                8.12
Abrahimas            Carkus                6.80                6.24
Abrahimas            Donelaitis            6.80                6.52
Abrahimas            Ezynas                7.60                7.28
Abrahimas            Ochmanas              8.40                8.12
Abrahimas            Ecka                  7.60                7.64
Abrahimas            Donelaitis            6.00                5.56
Abrahimas            Carkauskas            7.00                7.00
Abrahimas            Auditera              6.60                6.80
Abrahimas            Ochmanas              5.80                5.88
Abrahimas            Zabaliuna             5.40                5.64
Abrahimas            Fenclavas             6.60                6.76
Abrahimas            Auditera              6.40                6.28
Abrahimas            Carkauskas            7.40                7.16
Abrahimas            Abaranas              6.40                6.00
Abrahimas            Abaranas              6.80                6.56
Abrahimas            Zabaliuna             4.80                5.12
Abrahimas            Farsavicius           7.20                7.12
Abrahimas            Ochmanas              5.20                5.32
Abrahimas            Abaranas              5.80                5.40
Abrahimas            Zabaliuna             6.00                5.48
Abrahimas            Ceberekas             6.20                6.48
Abrahimas            Ecka                  7.20                7.12
Abrahimas            Fabricijus            8.20                8.04
Abrahimas            Ecka                  5.60                5.48
Abrahimas            Farsavicius           6.80                6.92
Abrahimas            Fabricijus            5.20                5.28
Abrahimas            Auditera              5.60                5.68
Abrahimas            Jablanskas            5.20                5.12
Abrahimas            Ezynas                6.40                6.32
Abrahimas            Farsavicius           6.80                7.20
Abrahimas            Jablanskas            6.40                6.32
Abrahimas            Ezynas                6.60                6.32
Abrahimas            Donelaitis            6.80                6.68
Abrahimas            Ezynas                5.40                5.40
Abrahimas            Ferdinandas           6.40                6.28
Abrahimas            Ferdinandas           6.00                6.12
Abrahimas            Jablanskas            6.20                6.56
Abrahimas            Ferdinandas           5.40                5.48
Abrahimas            Carkauskas            7.00                7.28
Abrahimas            Ecka                  6.80                7.04
Abrahimas            Ferdinandas           5.00                5.08
Abrahimas            Ferdinandas           5.00                5.76
Abrahimas            Donelaitis            7.20                7.64
Abrahimas            Ceberekas             7.80                8.04
Abrahimas            Ceberekas             7.60                7.48
Abrahimas            Abaranas              5.00                5.16
Abrahimas            Abaranas              6.20                6.20
Abrahimas            Carkauskas            5.60                5.56
Abrahimas            Ezynas                8.20                7.88
Abrahimas            Farsavicius           7.00                6.76
Abrahimas            Farsavicius           6.40                6.68
Abrahimas            Zabaliuna             7.00                7.48
Abrahimas            Ezynas                7.20                6.88
Abrahimas            Abaranas              6.00                5.80
Abrahimas            Farsavicius           7.60                7.80
Abrahimas            Carkauskas            6.40                6.40
Abrahimas            Carkauskas            6.80                7.28
Abrahimas            Abaranas              7.60                7.88
Abrahimas            Ceberekas             7.80                7.92
Abrahimas            Ecka                  7.80                7.52
Abrahimas            Ochmanas              7.80                7.68
Abrahimas            Ceberekas             6.60                6.72
